:ID,:LABEL,name
Q22326815,Cellular Component,SCF-YLR352W ubiquitin ligase complex
Q22326843,Cellular Component,Dsc E3 ubiquitin ligase complex
Q22326847,Cellular Component,DNA polymerase V complex
Q22326855,Cellular Component,plastid-encoded plastid RNA polymerase complex A
Q22326862,Cellular Component,phosphatidylinositol 3-kinase complex, class II
Q22326876,Cellular Component,CTDK-1 complex
Q22326887,Cellular Component,cyclin A2-CDK1 complex
Q22326889,Cellular Component,cyclin E2-CDK2 complex
Q22326891,Cellular Component,cyclin D3-CDK6 complex
Q22326892,Cellular Component,cyclin D2-CDK6 complex
Q22326895,Cellular Component,Pho85-Pho80 CDK-cyclin complex
Q22326900,Cellular Component,adenylyltransferase complex
Q22326904,Cellular Component,creatine kinase complex
Q22326913,Cellular Component,imidazoleglycerol-phosphate synthase complex
Q22326932,Cellular Component,methyltransferase complex
Q22326934,Cellular Component,nucleosomal methylation activator complex
Q22326936,Cellular Component,MLL1/2 complex
Q22326944,Cellular Component,decaprenyl diphosphate synthase complex
Q22326947,Cellular Component,heterotetrameric decaprenyl diphosphate synthase complex
Q22326950,Cellular Component,protein N-acetylglucosaminyltransferase complex
Q22326971,Cellular Component,plasma membrane respiratory chain complex III
Q22327000,Cellular Component,dimethyl sulfoxide reductase complex
Q22327009,Cellular Component,alkanesulfonate monooxygenase complex
Q22327011,Cellular Component,taurine dioxygenase complex
Q22327020,Cellular Component,plastid stroma
Q22327026,Cellular Component,plastid biotin carboxylase complex
Q22327029,Cellular Component,transporter complex
Q22327047,Cellular Component,Rpd3L-Expanded complex
Q22327061,Cellular Component,extracellular isoamylase complex
Q22327062,Cellular Component,caspase complex
Q22327076,Cellular Component,DPS complex
Q22327123,Cellular Component,mitochondrial proton-transporting ATP synthase, stator stalk
Q22327133,Cellular Component,mitochondrial processing peptidase complex
Q22327146,Cellular Component,Cus cation efflux complex
Q22327152,Cellular Component,MacAB-TolC complex
Q22327186,Cellular Component,MHC protein complex
Q22327191,Cellular Component,interleukin-9 receptor complex
Q22327192,Cellular Component,interleukin-3 receptor complex
Q22327211,Cellular Component,adrenomedullin receptor complex
Q22327224,Cellular Component,IgA B cell receptor complex
Q22327241,Cellular Component,plasma membrane proton-transporting V-type ATPase complex
Q22327242,Cellular Component,alphav-beta3 integrin-HMGB1 complex
Q22327249,Cellular Component,plasma membrane proton-transporting ATP synthase complex
Q22327251,Cellular Component,plasma membrane proton-transporting ATP synthase complex, coupling factor F(o)
Q22327254,Cellular Component,alpha6-beta4 integrin-laminin 5 complex
Q22327275,Cellular Component,gamma-secretase-Delta1 complex
Q22327276,Cellular Component,Delta1 complex
Q22327282,Cellular Component,TRAIL death-inducing signaling complex
Q22327295,Cellular Component,Wnt-Frizzled-LRP5/6 complex
Q22327305,Cellular Component,alpha9-beta1 integrin-ADAM2 complex
Q22327317,Cellular Component,alphaV-beta3 integrin-tissue transglutaminase complex
Q22327327,Cellular Component,alpha3-beta1 integrin-basigin complex
Q22327337,Cellular Component,alphaIIb-beta3 integrin-fibronectin-tissue transglutaminase complex
Q22327348,Cellular Component,auxin efflux carrier complex
Q22327360,Cellular Component,alphaX-beta2 integrin-ICAM-4 complex
Q22327362,Cellular Component,alpha9-beta1 integrin-thrombospondin-1 complex
Q22327381,Cellular Component,IgD immunoglobulin complex, circulating
Q22327400,Cellular Component,pituitary gonadotropin complex
Q22327429,Cellular Component,non-membrane-bounded organelle
Q22327433,Cellular Component,host cell cytoplasm part
Q22327440,Cellular Component,laminin-4 complex
Q22327474,Cellular Component,intrinsic component of synaptic vesicle membrane
Q22327481,Cellular Component,type Ib terminal bouton
Q22327488,Cellular Component,F bouton
Q22327490,Cellular Component,S bouton
Q22327513,Cellular Component,postsynaptic specialization
Q22327517,Cellular Component,presynaptic cytoskeleton
Q22327523,Cellular Component,presynaptic periactive zone
Q22327596,Cellular Component,mossy fiber rosette
Q22327613,Cellular Component,anchoring junction
Q22327619,Cellular Component,endoplasmic reticulum tubular network membrane
Q22327620,Cellular Component,free sarcoplasmic reticulum membrane
Q22327627,Cellular Component,lumenal side of lysosomal membrane
Q22327632,Cellular Component,lumenal side of smooth endoplasmic reticulum membrane
Q22327633,Cellular Component,lumenal side of rough endoplasmic reticulum membrane
Q22327640,Cellular Component,cytoplasmic side of membrane
Q22327666,Cellular Component,rhabdomere membrane
Q22327669,Cellular Component,rhabdomere microvillus
Q22327690,Cellular Component,attachment organelle membrane
Q22327692,Cellular Component,syntaxin-6-syntaxin-16-Vti1a complex
Q22327693,Cellular Component,cellubrevin-VAMP4-endobrevin-syntaxin-6 complex
Q22327700,Cellular Component,synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a complex
Q22327707,Cellular Component,lysosomal proton-transporting V-type ATPase complex
Q22327715,Cellular Component,coated vesicle membrane
Q22327726,Cellular Component,sodium ion-transporting V-type ATPase complex
Q22327753,Cellular Component,alpha6-beta1 integrin-CYR61 complex
Q22327766,Cellular Component,alphaV-beta6 integrin-osteopontin complex
Q22327771,Cellular Component,alphaV-beta3 integrin-EGFR complex
Q22327774,Cellular Component,alpha5-beta1 integrin-endostatin complex
Q22327775,Cellular Component,alpha9-beta1 integrin-VEGF-A complex
Q22327777,Cellular Component,alpha7-beta1 integrin-nicotinamide riboside kinase complex
Q22327780,Cellular Component,alpha9-beta1 integrin-VEGF-D complex
Q22327793,Cellular Component,chloroplast photosystem I
Q22327838,Cellular Component,integral component of Golgi medial cisterna membrane
Q22327858,Cellular Component,intrinsic component of vacuolar membrane
Q22327868,Cellular Component,intrinsic component of nuclear outer membrane
Q22327870,Cellular Component,intrinsic component of phagophore assembly site membrane
Q22327903,Cellular Component,plasmodesmatal cytoplasmic sleeve
Q22327910,Cellular Component,cell body membrane
Q22327913,Cellular Component,extrinsic component of plastid thylakoid membrane
Q22327921,Cellular Component,extrinsic component of external side of cell outer membrane
Q22327936,Cellular Component,COPI-coated Golgi to ER transport vesicle
Q22327938,Cellular Component,merozoite dense granule
Q22327942,Cellular Component,lamellar body membrane
Q22327955,Cellular Component,clathrin-sculpted gamma-aminobutyric acid transport vesicle
Q22327958,Cellular Component,lytic vacuole membrane
Q22327973,Cellular Component,chromoplast outer membrane
Q22327980,Cellular Component,glyoxysomal membrane
Q22327981,Cellular Component,glycosome
Q22327993,Cellular Component,multivesicular body, internal vesicle membrane
Q22327998,Cellular Component,organellar chromatophore
Q22328015,Cellular Component,ascus membrane
Q22328034,Cellular Component,membrane-enclosed lumen
Q22328056,Cellular Component,glyoxysomal lumen
Q22328100,Cellular Component,fertilization envelope
Q22328107,Cellular Component,porous cell septum
Q22328119,Cellular Component,septal periplasm
Q22328125,Cellular Component,right caudal flagellum
Q22328127,Cellular Component,right ventral flagellum
Q22328134,Cellular Component,actin-based cell projection
Q22328137,Cellular Component,growth cone filopodium
Q22328142,Cellular Component,cytoneme
Q22328144,Cellular Component,cell hair
Q22328409,Cellular Component,nuclear cohesin complex
Q22328434,Cellular Component,RC-1 DNA recombination complex
Q22328439,Cellular Component,mitotic checkpoint complex
Q22328445,Cellular Component,cytosolic proteasome regulatory particle, base subcomplex
Q22328457,Cellular Component,Isw1b complex
Q22328469,Cellular Component,BLOC complex
Q22328512,Cellular Component,myosin VIII complex
Q22328521,Cellular Component,myosin XIV complex
Q22328522,Cellular Component,myosin XIII complex
Q22328523,Cellular Component,myosin XII complex
Q22328525,Cellular Component,FAR/SIN/STRIPAK complex
Q22328528,Cellular Component,large latent transforming growth factor-beta complex
Q22328529,Cellular Component,IKKalpha-IKKalpha complex
Q22328543,Cellular Component,interferon regulatory factor 3-interferon regulatory factor 7 complex
Q22328544,Cellular Component,interferon regulatory factor 7 complex
Q22328545,Cellular Component,interferon regulatory factor 5 complex
Q22328552,Cellular Component,mating projection tip polarisome
Q22328557,Cellular Component,protease inhibitor complex
Q22328565,Cellular Component,bacterial degradosome
Q22328568,Cellular Component,NOXA-BCL-2 complex
Q22328576,Cellular Component,BAD-BCL-2 complex
Q22328585,Cellular Component,HIR complex
Q22328592,Cellular Component,THO complex
Q22328607,Cellular Component,Y-shaped link
Q22328613,Cellular Component,polyketide synthase complex
Q22328615,Cellular Component,type II polyketide synthase complex
Q22328633,Cellular Component,NF-kappaB p50/p65 complex
Q22328639,Cellular Component,MAML2-RBP-Jkappa-ICN3 complex
Q22328658,Cellular Component,FtsQBL complex
Q22328691,Cellular Component,Rhino-Deadlock-Cutoff Complex
Q22328704,Cellular Component,sulfite reductase complex (NADPH)
Q22328712,Cellular Component,Rvs161p-Rvs167p complex
Q22328716,Cellular Component,Ddb1-Wdr21 complex
Q22328726,Cellular Component,Mcs4 RR-MAPKKK complex
Q22328734,Cellular Component,activated SUMO-E1 ligase complex
Q22328753,Cellular Component,E.F.G complex
Q22328756,Cellular Component,viral transcriptional complex
Q22328758,Cellular Component,GID complex
Q22328776,Cellular Component,APC-IQGAP complex
Q22328780,Cellular Component,SmD-containing SMN-Sm protein complex
Q22328784,Cellular Component,IgW immunoglobulin complex
Q22328789,Cellular Component,Nsk1-Dlc1 complex
Q22328794,Cellular Component,cytosolic proteasome core complex, beta-subunit complex
Q22328836,Cellular Component,microtubule organizing center attachment site
Q22328854,Cellular Component,penta-snRNP complex
Q22328863,Cellular Component,U12-type prespliceosome
Q22328864,Cellular Component,U12-type post-spliceosomal complex
Q22328895,Cellular Component,mutator focus
Q22328910,Cellular Component,cytoplasmic U snRNP body
Q22328916,Cellular Component,organellar small ribosomal subunit
Q22328917,Cellular Component,plastid small ribosomal subunit
Q22328922,Cellular Component,chloroplast large ribosomal subunit
